R@1,R@3,R@5,R@10,R@20,MAP,Dataset,Model
0.47556684910086006,0.6778733385457388,0.7650508209538702,0.8467552775605942,0.9028537920250196,0.5991458949100497,Spider,Qwen/Qwen3-Embedding-4B
0.45955280858025815,0.6584257407744046,0.7276858752954009,0.8185784402835848,0.8820214506453372,0.5811626549270732,Bird,Qwen/Qwen3-Embedding-4B
0.2130570758405004,0.38037529319781077,0.48240813135261923,0.6295934323690383,0.7202892885066459,0.3352631261811715,Spider,Qwen/Qwen3-Embedding-8B
0.23559352844937284,0.42428649336484275,0.5179058353026722,0.630430830758044,0.7227776767860389,0.36081726047136564,Bird,Qwen/Qwen3-Embedding-8B
0.6397576231430805,0.8215402658326818,0.8891712275215011,0.9413604378420641,0.9724394057857702,0.7459559760012331,Spider,Qwen/Qwen3-Embedding-8B
0.5844391928740229,0.7891292492274132,0.8480276313397564,0.8998363933830212,0.9480094528267587,0.7013756729718115,Bird,Qwen/Qwen3-Embedding-8B
0.08,0.5,0.96,0.96,0.96,0.3523333333333333,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.4,1.0,1.0,1.0,1.0,0.6166666666666665,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.4,1.0,1.0,1.0,1.0,0.6333333333333332,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.7,1.0,1.0,1.0,1.0,0.8166666666666667,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.36,0.6266666666666667,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.5477777777777779,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.52,0.76,0.91,0.99,0.99,0.669857142857143,BIRD-Agentic,Qwen/Qwen3-Embedding-8B
0.04,0.5,0.96,0.96,0.96,0.32899999999999996,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.6,0.84,0.9,0.98,0.98,0.7351904761904762,BIRD-Agentic,Qwen/Qwen3-Embedding-8B
0.08,0.5,0.96,0.96,0.96,0.3523333333333333,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.6,0.84,0.9,0.98,0.98,0.7351904761904762,BIRD-Agentic,Qwen/Qwen3-Embedding-8B
0.06,0.5,0.96,0.96,0.96,0.34233333333333327,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.06,0.5,0.96,0.96,0.96,0.34233333333333327,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.08,0.5,0.96,0.96,0.96,0.3523333333333333,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.38,0.62,0.96,0.96,0.96,0.5443333333333333,Spider-Agentic,Qwen/Qwen3-Embedding-8B
0.68,0.86,0.9,0.98,0.98,0.7835238095238095,BIRD-Agentic,Qwen/Qwen3-Embedding-8B
